C¢digo,Nivel,T°tulo,ComitÇ,Sector Productivo
EC1024,3,Supervisi¢n de la edificaci¢n/modificaci¢n/ampliaci¢n de obras en casa habitaci¢n,Subsecretar°a de Educaci¢n Media Superior (SEMS),CONSTRUCCI‡N
EC1025,3,Tutor°a acadÇmica de la formaci¢n dual,Subsecretar°a de Educaci¢n Media Superior (SEMS),SERVICIOS EDUCATIVOS
EC1026,3,Venta de coches,Subsecretar°a de Educaci¢n Media Superior (SEMS),COMERCIO AL POR MENOR
EC1027,2,Amacice de obras mineras con equipo mecanizado,Del Sector Minero de MÇxico,MINER÷A
EC1028,2,Anclaje de roca con equipo mecanizado,Del Sector Minero de MÇxico,MINER÷A
EC1029,4,"Auditor°a Externa a la operaci¢n y desempe§o del Sistema de Administraci¢n de Seguridad Industrial, Seguridad Operativa y Protecci¢n al Medio Ambiente del Sector Hidrocarburos",Agencia Nacional de Seguridad Industrial y de Protecci¢n al Medio Ambiente del Sector Hidrocarburos (ASEA),"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1030,4,"Evaluaci¢n de la conformaci¢n y del programa de implementaci¢n del Sistema de Administraci¢n de Seguridad Industrial, Seguridad Operativa y Protecci¢n al Medio Ambiente del Sector Hidrocarburos",Agencia Nacional de Seguridad Industrial y de Protecci¢n al Medio Ambiente del Sector Hidrocarburos (ASEA),"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1035,2,Suministro seguro de combustibles en la Estaci¢n de Servicio para el expendio al p£blico de gasolinas y diÇsel,Agencia Nacional de Seguridad Industrial y de Protecci¢n al Medio Ambiente del Sector Hidrocarburos (ASEA),"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1036,2,Supervisi¢n de la operaci¢n segura de la Estaci¢n de Servicio de expendio al p£blico de gasolinas y diÇsel,Agencia Nacional de Seguridad Industrial y de Protecci¢n al Medio Ambiente del Sector Hidrocarburos (ASEA),"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1037,2,Apoyo tÇcnico en el desarrollo de la audiencia oral,Poder Judicial del Estado de MÇxico,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1038,3,Intervenci¢n para la soluci¢n de conflictos,Poder Judicial del Estado de MÇxico,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1039,3,Proyecci¢n de acuerdos judiciales,Poder Judicial del Estado de MÇxico,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1040,2,Recepci¢n de promociones en el †mbito judicial,Poder Judicial del Estado de MÇxico,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1041,2,Coordinaci¢n para una sesi¢n de Ashtanga Yoga,Yoga especializado,SERVICIOS EDUCATIVOS
EC1042,2,Coordinaci¢n para una sesi¢n de Yoga especializado,Yoga especializado,SERVICIOS EDUCATIVOS
EC1043,2,Coordinaci¢n para una sesi¢n de Yoga para ni§os de 4 a 12 a§os de edad,Yoga especializado,SERVICIOS EDUCATIVOS
